index	gene
1354	CDC26
1355	CDC27
1356	CDC34
1357	CDC37
1358	CDC37L1
1359	CDC40
1360	CDC42
1361	CDC42BPA
1362	CDC42BPB
1363	CDC42EP2
1364	CDC42EP3
1365	CDC42EP5
1366	CDC45
1367	CDC5L
1368	CDC6
1369	CDC7
1370	CDC73
1371	CDCA2
1372	CDCA5
1373	CDCA7
1374	CDCA8
1375	CDCP1
1376	CDH1
1377	CDH10
1378	CDH11
1379	CDH12
1380	CDH13
1381	CDH15
1382	CDH17
1383	CDH18
1384	CDH2
1385	CDH23
1386	CDH24
1387	CDH3
1388	CDH4
1389	CDH5
1390	CDH6
1391	CDH7
1392	CDH8
1393	CDH9
1394	CDHR1
1395	CDHR2
1396	CDHR5
1397	CDIPT
1398	CDK1
1399	CDK11A
1400	CDK11B
1401	CDK12
1402	CDK13
1403	CDK14
1404	CDK2
1405	CDK20
1406	CDK2AP1
1407	CDK4
1408	CDK5
1409	CDK5R1
1410	CDK5R2
1411	CDK5RAP2
1412	CDK6
1413	CDK7
1414	CDK8
1415	CDK9
1416	CDKL5
1417	CDKN1A
1418	CDKN1B
1419	CDKN1C
1420	CDKN2A
1421	CDKN2AIP
1422	CDKN2B
1423	CDKN2C
1424	CDKN2D
1425	CDKN3
1426	CDO1
1427	CDON
1428	CDS1
1429	CDS2
1430	CDSN
1431	CDT1
1432	CDX1
1433	CDX2
1434	CDX4
1435	CDYL
1436	CEACAM1
1437	CEACAM3
1438	CEACAM5
1439	CEACAM6
1440	CEACAM7
1441	CEACAM8
1442	CEBPA
1443	CEBPB
1444	CEBPD
1445	CEBPG
1446	CEBPZ
1447	CECR2
1448	CELF1
1449	CELF2
1450	CELSR1
1451	CELSR2
1452	CENPA
1453	CENPB
1454	CENPC
1455	CENPE
1456	CENPF
1457	CENPH
1458	CENPI
1459	CENPK
1460	CENPL
1461	CENPM
1462	CENPN
1463	CENPO
1464	CENPP
1465	CENPQ
1466	CENPS
1467	CENPT
1468	CENPU
1469	CENPW
1470	CENPX
1471	CEP120
1472	CEP131
1473	CEP135
1474	CEP152
1475	CEP162
1476	CEP164
1477	CEP170
